Name,Category,Address,Latitude,Longitude
Tophic Properties Ltd,Industrial real estate agency,"Rongai Complex, 1st Flr, Beach Road, Diani, South Coast, Dawida Annex, 2nd Flr, Suite #B63, Bata Road, (Opp. ACK St. Peter’s Church), Voi.",-4.2909619,39.5855338
Kwa Judge,Apartment building,PHH8+X3,-4.2701089,39.5652379
Mike's House,Apartment complex,MHR5+P2G,-4.3078976,39.5576916
Tango house,Apartment complex,PH5P+Q6F,-4.2889335,39.5853315
Amani Joy Apartment,Apartment building,PH6G+946,-4.2890785,39.5752428
Kedu Ukunda,Holiday apartment rental,PH92+2J,-4.2824155,39.5515482
Eden Place,Apartment rental agency,"PH6J+J9W, Diani, Diani Beach Road",-4.2883841,39.5809423
Joe Palace,Apartment building,PH79+M8X,-4.2857553,39.5683502
Ajab White House apartment,Apartment building,MHM3+3J2,-4.3173641,39.5540106
Bstan Homes Diani at Blueswallow,Furnished apartment building,,-4.2868396,39.5756094
Leon's Eden,Apartment building,579 Diani Road,-4.2879617,39.5652842
Simiyu house,Apartment building,PH65+GW,-4.2887346,39.5597898
Kwa Vero,Apartment building,"PH78+46F, Ukunda-Ramisi Rd",-4.2871838,39.565551
Diani Homes Ltd,Apartment building,Majengo Diani Beach Rd Bazaar Shopping Centre Mvita,-4.2965906,39.5824782
Bezi Valley Appartements,Apartment building,PH3G+X76,-4.2962575,39.5758177
Tatjana😎,Apartment building,PH6F+5RV,-4.288963,39.5742063
Eger-Diani Apartments,Apartment complex,,-4.2905943,39.575118
Tulivu Suites Diani,Holiday apartment,,-4.2970037,39.5772078
Boga Family Home,Apartment building,PH68+R39,-4.2879586,39.5652384
The Sandcastle,Apartment building,Diani Beach Road,-4.2974157,39.5823984
Anfield Apartments,Apartment building,PH7H+QPG,-4.2844976,39.5785157
kayz Home,Apartment building,PH55+MFC,-4.2908125,39.5586406
Galu Gardens Apartments,Holiday apartment rental,,-4.3661441,39.554943
Paradiso Beach Apartments,Condominium complex,Beach Road 5771,-4.3569255,39.5597929
Galu Salama,Holiday apartment rental,JGMX+7Q,-4.36681,39.5494465
Havillah Bustani Apartments,Holiday apartment rental,MH55+98,-4.3416503,39.5584909
Simulizi Apartments,Hotel,,-4.34444,39.5600948
"Lantana Galu - Hotel in Diani, South Coast Kenya",4-star hotel,,-4.3640977,39.5577424
Hollmann Residence,Apartment building,Hennes-Weisweiler-Allee,-4.3605415,39.5510294
Diani Place Fully Furnished Apartments,Apartment building,33 Diani Beach Road,-4.310713,39.5753005
Galu Suites,Apartment building,,-4.3007539,39.5761107
"Bella Seaview, 4x serviced apartments on Diani Beach, Kenya",Serviced accommodation,Diani Beach Road,-4.2971361,39.5824229
Jo's Baobab Luxury Apartments,Furnished apartment building,Near Diani Beach Road Google Plus Code: MH44+QWJ Diani Beach,-4.3430625,39.5573125
Upani in Diani,4-star hotel,,-4.3635997,39.555716
Diani Luxe Villa,Serviced apartment,"Bougain 1 residence lane 50m, off Diani Beach Road",-4.3560144,39.5587322
Hibiscus Diani | Self Catering House & Apartments Kenya,3-star hotel,,-4.3496359,39.5586109
Villa Black Pearl Diani,Vacation home rental agency,,-4.3572175,39.5573071
Diani Pearl Luxury Apartments,Holiday apartment rental,"Diani Pearl Diani Beach Road, Behind Baharini Plaza Diani Beach, Kwale County KE",-4.3061181,39.57654
"Jade Luxury Apartments, Diani",Homestay,,-4.349332,39.561327
Villa Soleil - Free Wi-Fi,Vacation home rental agency,,-4.3616779,39.5549516
Galu suits,Apartment building,JHQ4+774,-4.3618643,39.5557101
Kwetu Homes & Cottages,Holiday apartment rental,,-4.3458839,39.5615962
Villa Soleil - Free Wi-Fi,Vacation home rental agency,,-4.3616779,39.5549516
"Jade Luxury Apartments, Diani",Homestay,,-4.349332,39.561327
Galu suits,Apartment building,JHQ4+774,-4.3618643,39.5557101
Galu Ecolodge - Diani Beach Kenya,Hotel,,-4.3696712,39.5560424
Kwetu Homes & Cottages,Holiday apartment rental,,-4.3458839,39.5615962
Blue bell Apartments,Lodging,253-80400,-4.3423646,39.5640444
BAALI DIANI APARTMENTS,Holiday apartment rental,"PH7H+QPM, Diani Beach",-4.2852028,39.5794518
Penthouse 1,Holiday home,"Galu, Diani Beach Road",-4.3641736,39.5579939
Diani South Apartments,Apartment building,,-4.356587,39.5562628
Amani Luxury Apartments,4-star hotel,,-4.3409079,39.5599643
Coast to coast Paradise villa,Holiday apartment rental,MH27+XF5,-4.3476011,39.5637206
Waridi Luxury Apartments,Apartment building,"Next To Palm Park Villas, Opposite Lantana Galo Beach Hotel, Galo Beach - Ukunda, Diani Beach Road",-4.3647012,39.5573228
Nyumbani Ya Pili- Guest House,Holiday apartment rental,"JHR4+X27, Unnamed Road",-4.3575765,39.5550403
VILLA LOISITA,Holiday apartment rental,Off Palm road,-4.360917,39.554185
Airbnb diani studio apartment,Bed & breakfast,,-4.2843628,39.5750995
Moringa House,Lodging,,-4.3561359,39.5615206
Lala Galu,Hotel,,-4.3636385,39.5589771
"Al Mahali Villas, Diani Galu Beach, Kenya",Villa,,-4.3641176,39.5596131
crocodile lodge,Holiday apartment rental,JHW3+3J7,-4.3548436,39.5540529
Galu Tulivu,3-star hotel,,-4.3720115,39.550715
Cave Diani Holiday Apartments,Villa,,-4.3033481,39.5707704
Palm House,Apartment complex,"Opposite Galu Inn Hotel, Galu Beach - Ukunda, Diani Beach Road",-4.3525015,39.5606456
Mawimbi,Hotel,,-4.3543142,39.5623752
"Jahazi Beach House, Galu Beach",Villa,,-4.3569717,39.5608808
Mibuyuni site,Holiday apartment rental,3,-4.3606083,39.5512051
Tamani at Galu Beach,Villa,"Opposite Galu Inn Hotel, Near Public Beach Access Road, Galu Beach - Ukunda, Diani Beach Road",-4.3531562,39.5604326
Swahili Afrique Beach House,Holiday apartment rental,Diani Beach Road,-4.3508721,39.5610572
Simba Oryx Beach Cottages,4-star hotel,,-4.3559113,39.5595083
Maua Mazuri @ Ebenezer Apartments Diani Beach,Hotel,MH24+W88,-4.3477004,39.5558231
Shimba Hill apartments,Hotel,JHX5+3CH,-4.3523212,39.558597
Tulua House,Hotel,,-4.3535806,39.5620163
SUNSET VILLA,3-star hotel,,-4.3639092,39.5528144
Apple Mango Apartments,3-star hotel,,-4.3077555,39.5771937
Diani Hideaway Villa,Holiday home,Diani Beach Road,-4.3564652,39.5590533
Malisela cottages,Holiday apartment rental,JHX4+W9F,-4.3501796,39.555919
Seascape Cottage,Holiday apartment rental,"JHX5+PXQ, Diani Beach Road",-4.3506669,39.5599995
Woods Gardens,Apartment building,Diani Beach Road,-4.356932,39.5583426
Waseal Limited,Condominium rental agency,JHR5+323 Blue Water Resort Diani,-4.3598519,39.5575316
Rock Galana Holiday Apartments,Holiday apartment,P.O. Box 5219 Diani Beach,-4.3537147,39.5511286
Mzuri Beach House,4-star hotel,,-4.3539524,39.5624458
Boxo Diani,4-star hotel,,-4.363113,39.5579518
Galu Inn,3-star hotel,,-4.352838,39.5603751
Miwa Diani beach Villa & Single Apartments,Cottage,Diani Beach Road,-4.364372,39.5556545
Agape Apartments diani,Apartment building,airport street,-4.3019197,39.5657654
Almanara Luxury Villas,5-star hotel,,-4.3523521,39.562561
